diamond  17 站点信息2416站  2416
50136  5258  12231 434.2  4 1 漠河
50137  5328  12222 297.3  6 1 北极村
50246  5221  12443 363.0  4 1 塔河
50247  5202  12334 514.9  32 1 呼中
50349  5142  12420 496.2  16 1 新林
50353  5143  12639 178.0  2 1 呼玛
50425  5015  12011 582.3  16 1 额尔古纳市
50431  5047  12131 718.2  32 1 根河市
50434  5029  12141 733.7  2 1 图里河
50442  5024  12407 373.4  16 1 加格达奇
50445  5035  12344 424.7  32 1 鄂伦春自治旗
50468  5015  12727 171.8  16 1 爱辉
50514  4935  11719 662.3  16 1 满洲里
50524  4919  11926 578.5  32 1 陈巴尔虎旗
50525  4909  11945 621.6  32 1 鄂温克族自治旗
50526  4917  12042 670.0  32 1 牙克石市
50527  4913  11945 612.5  1 1 海拉尔
50548  4912  12343 287.2  16 1 小二沟
50557  4910  12514 243.0  2 1 嫩江
50564  4926  12721 235.1  4 1 孙吴
50566  4933  12828 117.0  32 1 逊克
50603  4840  11649 556.0  4 1 新巴尔虎右旗
50618  4813  11816 644.4  32 1 新巴尔虎左旗
50632  4846  12155 741.7  4 1 博克图
50639  4800  12244 308.5  32 1 扎兰屯
50645  4829  12429 196.5  32 1 莫力达瓦达斡尔族自治旗
50646  4829  12451 204.4  32 1 讷河
50647  4808  12329 237.2  32 1 阿荣旗
50655  4830  12611 267.7  32 1 五大连池
50656  4817  12631 272.0  16 1 北安
50658  4803  12553 236.3  4 1 克山
50659  4802  12615 293.1  32 1 克东
50673  4853  13024 92.3  32 1 嘉荫
50674  4834  12926 404.9  32 1 乌伊岭
50727  4710  11956 997.7  2 1 阿尔山
50739  4720  12311 191.5  32 1 龙江
50741  4756  12330 186.6  32 1 甘南
50742  4748  12429 164.6  16 1 富裕
50745  4723  12355 148.5  2 1 齐齐哈尔
50749  4711  12450 159.9  32 1 林甸
50750  4754  12518 228.8  32 1 依安
50755  4736  12606 232.4  32 1 拜泉
50756  4727  12658 240.4  4 1 海伦
50758  4711  12554 248.3  16 1 明水
50767  4714  12706 204.0  32 1 绥棱
50772  4806  12914 299.1  32 1 五营
50774  4744  12855 245.7  2 1 伊春
50775  4720  13016 229.8  16 1 鹤岗
50776  4734  13050 84.8  32 1 萝北
50778  4740  13232 59.1  32 1 同江
50779  4822  13417 41.2  32 1 抚远
50787  4717  13151 63.0  32 1 绥滨
50788  4714  13159 68.4  4 1 富锦
50832  4643  12205 334.9  32 1 胡尔勒
50833  4643  12254 189.0  32 1 扎赉特旗
50834  4636  12113 501.0  16 1 索伦
50838  4605  12203 276.0  32 1 乌兰浩特
50842  4650  12425 145.4  32 1 杜蒙
50844  4624  12327 139.7  16 1 泰来
50850  4634  12508 148.4  6 1 大庆
50851  4641  12605 209.2  32 1 青冈
50852  4650  12627 170.5  32 1 望奎
50853  4637  12658 180.8  16 1 北林
50854  4623  12519 150.4  16 1 安达
50858  4604  12556 136.0  32 1 肇东
50859  4615  12616 160.8  32 1 兰西
50861  4653  12729 186.1  32 1 庆安
50862  4659  12801 213.4  16 1 铁力
50867  4605  12721 134.8  32 1 巴彦
50871  4644  12953 96.4  32 1 汤原
50873  4647  13018 83.1  32 1 佳木斯
50877  4618  12935 105.4  16 1 依兰
50878  4700  13043 80.2  32 1 桦川
50879  4613  13033 187.6  32 1 桦南
50880  4644  13107 104.7  32 1 集贤
50884  4638  13109 176.0  32 1 双鸭山
50888  4619  13211 83.5  4 1 宝清
50892  4648  13400 57.2  32 1 饶河
50913  4543  11850 866.1  32 1 乌拉盖
50915  4531  11658 838.9  4 1 东乌珠穆沁
50924  4532  11940 824.7  6 1 霍林郭勒
50928  4504  12020 629.1  32 1 巴雅尔吐胡硕
50934  4523  12135 309.7  32 1 突泉
50936  4538  12250 156.5  32 1 白城
50937  4503  12128 250.7  32 1 科尔沁右翼中旗
50939  4520  12249 154.9  32 1 洮南
50940  4551  12310 142.3  32 1 镇赉
50945  4530  12416 138.7  32 1 大安
50946  4511  12450 140.7  32 1 松原
50948  4500  12401 148.0  32 1 乾安
50949  4505  12452 137.4  4 1 前郭
50950  4542  12515 150.2  32 1 肇州
50953  4545  12646 146.5  1 1 哈尔滨
50954  4530  12505 129.2  32 1 肇源
50955  4523  12618 167.3  32 1 双城
50956  4556  12634 117.7  32 1 呼兰
50958  4531  12657 175.0  32 1 阿城
50960  4547  12727 192.5  32 1 宾县
50962  4557  12802 113.6  32 1 木兰
50963  4558  12844 110.0  16 1 通河
50964  4550  12848 123.2  32 1 方正
50965  4527  12818 157.0  32 1 延寿
50968  4513  12758 191.0  16 1 尚志
50971  4546  13101 226.7  6 1 七台河
50973  4545  13036 242.8  32 1 勃利
50978  4518  13056 281.3  4 1 鸡西
50979  4516  13014 279.8  32 1 林口
50983  4546  13258 104.1  2 1 虎林
50985  4533  13152 155.4  32 1 密山
50987  4515  13108 181.6  32 1 鸡东
51053  4803  8624 534.5  4 1 哈巴河
51058  4706  8758 564.9  32 1 阿克达拉
51059  4726  8552 984.3  32 1 吉木乃
51060  4742  8652 475.5  32 1 布尔津
51068  4704  8728 502.8  16 1 福海
51076  4744  8805 737.7  2 1 阿勒泰
51087  4659  8931 809.7  4 1 富蕴
51133  4644  8300 536.6  1 1 塔城
51137  4612  8256 715.7  32 1 裕民
51145  4633  8339 523.6  32 1 额敏
51156  4647  8543 1294.2  4 1 和布克赛尔
51186  4640  9023 1220.3  16 1 青河
51232  4511  8234 338.1  4 1 阿拉山口
51238  4454  8204 533.1  32 1 博乐
51241  4556  8336 1077.1  16 1 托里
51243  4537  8451 456.5  4 1 克拉玛依
51288  4522  9032 1654.7  2 1 北塔山
51328  4412  8025 774.0  32 1 霍尔果斯
51329  4403  8051 641.8  32 1 霍城
51330  4458  8101 1359.0  16 1 温泉
51334  4436  8254 320.1  16 1 精河
51346  4426  8440 478.3  32 1 乌苏
51352  4451  8515 338.0  32 1 炮台
51353  4501  8606 347.6  32 1 莫索湾
51356  4419  8603 444.1  32 1 石河子
51357  4420  8537 523.4  32 1 沙湾
51358  4417  8549 469.3  32 1 乌兰乌苏
51359  4419  8612 473.5  32 1 玛纳斯
51365  4412  8732 441.3  16 1 蔡家湖
51367  4408  8649 524.3  32 1 呼图壁
51368  4407  8719 516.7  32 1 昌吉
51369  4358  8739 601.2  32 1 米泉
51377  4410  8755 547.9  32 1 阜康
51378  4401  8910 735.8  32 1 吉木萨尔
51379  4401  8934 794.1  4 1 奇台
51430  4350  8109 605.4  32 1 察布查尔
51431  4357  8120 663.4  2 1 伊宁
51433  4348  8231 1106.5  32 1 尼勒克
51434  4358  8132 771.6  32 1 伊宁县
51435  4328  8214 776.5  32 1 巩留
51436  4327  8315 929.7  32 1 新源
51437  4309  8108 1854.6  16 1 昭苏
51438  4311  8146 1210.6  32 1 特克斯
51463  4347  8739 935.9  1 1 乌鲁木齐
51465  4329  8706 1874.9  32 1 小渠子
51467  4244  8618 1739.7  4 1 巴仑台
51468  4306  8650 3543.8  32 1 天山大西沟
51469  4327  8711 1928.5  32 1 乌鲁木齐牧试站
51470  4353  8807 1942.1  32 1 天池
51477  4321  8819 1105.3  16 1 达坂城
51482  4350  9017 1271.8  32 1 木垒
51495  4313  9144 723.7  4 1 十三间房
51526  4214  8813 924.0  16 1 库米什
51542  4302  8409 2459.9  4 1 巴音布鲁克
51559  4219  8624 1110.3  32 1 和静
51567  4205  8634 1057.9  32 1 焉耆
51568  4215  8648 1086.5  32 1 和硕
51571  4248  8838 2.0  32 1 托克逊
51572  4250  8915 -47.4  32 1 吐鲁番东坎
51573  4256  8912 35.2  4 1 吐鲁番
51581  4251  9014 400.3  16 1 鄯善
51627  4113  7914 1397.5  32 1 乌什
51628  4110  8014 1105.4  16 1 阿克苏
51629  4116  8014 1134.4  32 1 温宿
51633  4147  8154 1230.5  16 1 拜城
51636  4132  8237 1014.5  32 1 新和
51639  4114  8247 982.5  32 1 沙雅
51642  4147  8415 978.0  16 1 轮台
51644  4143  8258 1083.4  2 1 库车
51655  4121  8616 886.7  32 1 尉犁
51656  4145  8608 932.9  2 1 库尔勒
51701  4031  7524 3507.4  16 1 吐尔尕特
51704  3943  7610 1300.0  32 1 阿图什
51705  3943  7515 2177.5  16 1 乌恰
51707  3930  7644 1209.5  32 1 伽师
51708  3909  7557 1324.9  32 1 阿克陶
51709  3928  7559 1291.0  2 1 喀什
51711  4056  7827 1986.0  2 1 阿合奇
51716  3948  7834 1117.6  4 1 巴楚
51717  3915  7647 1207.8  32 1 岳普湖
51720  4030  7903 1163.3  16 1 柯坪
51722  4039  8024 1046.6  32 1 阿瓦提
51730  4033  8116 1013.4  16 1 阿拉尔
51747  3900  8340 1101.0  32 1 塔中
51765  4038  8742 847.9  8 1 铁干里克
51777  3902  8810 890.0  4 1 若羌
51802  3856  7610 1299.1  32 1 英吉沙
51804  3746  7514 3090.2  32 1 塔什库尔干
51810  3855  7738 1179.5  32 1 麦盖提
51811  3826  7716 1232.3  4 1 莎车
51814  3755  7724 1360.4  32 1 叶城
51815  3812  7716 1275.6  32 1 泽普
51818  3737  7817 1376.3  4 1 皮山
51826  3701  8048 1337.0  32 1 策勒
51827  3717  7943 1326.8  32 1 墨玉
51828  3708  7956 1374.9  1 1 和田
51829  3705  8010 1349.0  32 1 洛浦
51839  3704  8243 1410.6  2 1 民丰
51855  3809  8533 1248.4  2 1 且末
51886  3815  9051 2947.1  2 1 茫崖
51931  3651  8139 1423.3  16 1 于田
52101  4336  9303 1674.5  16 1 巴里坤
52112  4346  9508 479.0  32 1 淖毛湖
52118  4316  9442 1729.5  4 1 伊吾
52203  4249  9331 739.0  2 1 哈密
52267  4157  10104 941.7  2 1 额济纳旗
52313  4132  9440 1575.2  32 1 红柳河
52323  4148  9702 1770.1  2 1 马鬃山
52378  4122  10222 961.0  16 1 拐子湖
52418  4009  9441 1139.6  2 1 敦煌
52424  4032  9547 1172.3  16 1 瓜州
52436  4016  9702 1527.0  4 1 玉门镇
52446  4018  9931 1177.7  4 1 鼎新
52447  4000  9853 1271.2  16 1 金塔
52495  4010  10448 1325.9  4 1 巴彦诺尔公
52515  3931  9452 2138.6  32 1 肃北
52533  3946  9829 1478.6  1 1 酒泉
52546  3922  9950 1332.9  32 1 高台
52557  3909  10010 1458.7  32 1 临泽
52575  3925  10247 1240.9  32 1 雅布赖
52576  3913  10141 1511.5  16 1 阿右旗
52602  3845  9320 2770.9  2 1 冷湖
52607  3926  10639 1253.0  32 1 乌斯太
52633  3849  9825 3368.0  16 1 托勒
52643  3850  9937 2311.5  32 1 肃南
52645  3828  9933 3321.0  16 1 野牛沟
52652  3856  10026 1484.1  4 1 张掖
52656  3826  10049 2282.0  32 1 民乐
52657  3811  10015 2788.5  16 1 祁连
52661  3848  10105 1765.9  16 1 山丹
52674  3814  10158 1977.6  16 1 永昌
52679  3755  10240 1531.9  32 1 武威
52681  3838  10305 1368.5  2 1 民勤
52707  3648  9341 2768.0  16 1 小灶火
52713  3751  9521 3174.2  4 1 大柴旦
52737  3722  9723 2982.4  4 1 德令哈
52745  3718  9901 3417.9  32 1 天峻
52754  3720  10008 3302.4  2 1 刚察
52765  3723  10137 2850.5  16 1 门源
52784  3728  10254 2073.2  32 1 古浪
52787  3712  10252 3040.0  4 1 乌鞘岭
52797  3711  10403 1632.1  16 1 景泰
52818  3625  9455 2808.9  2 1 格尔木
52825  3626  9626 2791.4  4 1 诺木洪
52833  3656  9829 2951.0  16 1 乌兰
52836  3618  9806 3190.5  2 1 都兰
52842  3647  9905 3088.6  16 1 茶卡
