Monthly El Nino Sea Surface Temperature (degrees Celsius)
Year.Month    SST (!Uo!NC)
1871.041667  -0.44
1871.125000   0.00
1871.208333   0.08
1871.291667   0.02
1871.375000  -0.47
1871.458333  -0.43
1871.541667  -0.30
1871.625000  -0.25
1871.708333  -0.04
1871.791667  -0.30
1871.875000  -0.16
1871.958333  -0.83
1872.041667  -0.29
1872.125000  -0.65
1872.208333  -0.37
1872.291667  -0.58
1872.375000  -0.78
1872.458333  -0.62
1872.541667  -0.53
1872.625000  -0.66
1872.708333  -0.47
1872.791667  -0.78
1872.875000  -0.74
1872.958333  -0.94
1873.041667  -0.86
1873.125000  -0.78
1873.208333  -1.14
1873.291667  -1.02
1873.375000  -0.56
1873.458333  -0.58
1873.541667  -0.55
1873.625000  -0.13
1873.708333  -0.42
1873.791667  -0.77
1873.875000  -0.66
1873.958333  -0.76
1874.041667  -0.91
1874.125000  -1.07
1874.208333  -1.06
1874.291667  -1.21
1874.375000  -0.46
1874.458333  -0.64
1874.541667  -1.05
1874.625000  -0.89
1874.708333  -0.81
1874.791667  -0.74
1874.875000  -0.92
1874.958333  -0.93
1875.041667  -0.43
1875.125000  -0.28
1875.208333  -0.45
1875.291667  -0.53
1875.375000  -0.59
1875.458333  -0.34
1875.541667  -0.45
1875.625000  -0.57
1875.708333  -0.58
1875.791667  -0.55
1875.875000  -0.75
1875.958333  -0.91
1876.041667  -1.18
1876.125000  -1.17
1876.208333  -1.21
1876.291667  -1.32
1876.375000  -1.00
1876.458333  -0.08
1876.541667   0.08
1876.625000  -0.01
1876.708333   0.24
1876.791667   0.33
1876.875000   0.52
1876.958333   0.48
1877.041667   0.21
1877.125000   0.46
1877.208333   0.59
1877.291667   0.88
1877.375000   1.21
1877.458333   0.92
1877.541667   1.71
1877.625000   2.22
1877.708333   2.42
1877.791667   2.39
1877.875000   2.44
1877.958333   2.62
1878.041667   2.61
1878.125000   2.70
1878.208333   1.79
1878.291667   0.86
1878.375000   0.80
1878.458333   0.76
1878.541667   0.17
1878.625000   0.11
1878.708333  -0.02
1878.791667  -0.02
1878.875000  -0.08
1878.958333  -0.15
1879.041667  -0.03
1879.125000  -0.41
1879.208333  -0.51
1879.291667  -0.72
1879.375000  -0.75
1879.458333  -0.67
1879.541667  -0.35
1879.625000  -0.42
1879.708333  -0.41
1879.791667  -0.54
1879.875000  -0.79
1879.958333  -0.93
1880.041667  -0.87
1880.125000  -0.36
1880.208333  -0.14
1880.291667  -0.05
1880.375000   0.00
1880.458333  -0.26
1880.541667  -0.07
1880.625000   0.15
1880.708333   0.41
1880.791667   0.45
1880.875000   0.59
1880.958333   0.40
1881.041667   0.50
1881.125000   0.55
1881.208333   0.56
1881.291667   0.45
1881.375000   0.23
1881.458333   0.08
1881.541667  -0.10
1881.625000  -0.16
1881.708333  -0.21
1881.791667  -0.24
1881.875000  -0.38
1881.958333  -0.45
1882.041667  -0.55
1882.125000  -0.43
1882.208333  -0.23
1882.291667  -0.06
1882.375000  -0.09
1882.458333  -0.53
1882.541667  -0.66
1882.625000  -0.60
1882.708333  -0.51
1882.791667  -0.36
1882.875000  -0.48
1882.958333  -0.55
1883.041667  -0.53
1883.125000  -0.32
1883.208333   0.01
1883.291667   0.23
1883.375000   0.02
1883.458333   0.21
1883.541667   0.22
1883.625000  -0.05
1883.708333  -0.06
1883.791667   0.11
1883.875000   0.51
1883.958333  -0.12
1884.041667  -0.21
1884.125000  -0.10
1884.208333   0.19
1884.291667   0.56
1884.375000   0.24
1884.458333  -0.03
1884.541667   0.04
1884.625000   0.18
1884.708333   0.50
1884.791667   0.76
1884.875000   0.85
1884.958333   0.77
1885.041667   0.42
1885.125000   0.34
1885.208333   0.09
1885.291667   0.24
1885.375000   0.28
1885.458333  -0.21
1885.541667   0.02
1885.625000   0.32
1885.708333   0.50
1885.791667   0.83
1885.875000   1.11
1885.958333   1.02
1886.041667   0.18
1886.125000  -0.35
1886.208333  -0.70
1886.291667  -0.72
1886.375000  -1.09
1886.458333  -0.87
1886.541667  -0.88
1886.625000  -0.86
1886.708333  -0.61
1886.791667  -0.79
1886.875000  -0.97
1886.958333  -1.07
1887.041667  -0.94
1887.125000  -0.70
1887.208333  -0.45
1887.291667  -0.25
1887.375000  -0.52
1887.458333  -0.16
1887.541667  -0.18
1887.625000  -0.07
1887.708333  -0.01
1887.791667   0.04
1887.875000   0.06
1887.958333   0.21
1888.041667   0.16
1888.125000   0.43
1888.208333   0.59
1888.291667   0.71
1888.375000   0.84
1888.458333   0.90
1888.541667   0.98
1888.625000   1.05
1888.708333   1.46
1888.791667   1.60
1888.875000   1.81
1888.958333   2.02
1889.041667   1.94
1889.125000   1.62
1889.208333   1.29
1889.291667   0.76
1889.375000   0.34
1889.458333  -0.05
1889.541667  -0.57
1889.625000  -0.82
1889.708333  -0.94
1889.791667  -0.92
1889.875000  -0.73
1889.958333  -1.02
1890.041667  -0.85
1890.125000  -1.26
1890.208333  -0.37
1890.291667  -0.46
1890.375000  -0.39
1890.458333  -0.34
1890.541667  -0.43
1890.625000  -0.53
1890.708333  -0.39
1890.791667  -0.64
1890.875000  -0.82
1890.958333  -0.58
1891.041667  -0.07
1891.125000   0.01
1891.208333   0.35
1891.291667   0.53
1891.375000   0.73
1891.458333   0.76
1891.541667   0.77
1891.625000   0.14
1891.708333   0.10
1891.791667  -0.09
1891.875000   0.08
1891.958333   0.03
1892.041667   0.09
1892.125000  -0.11
1892.208333  -0.43
1892.291667  -0.57
1892.375000  -0.81
1892.458333  -0.89
1892.541667  -0.92
1892.625000  -0.92
1892.708333  -0.95
1892.791667  -1.29
1892.875000  -1.55
1892.958333  -1.29
1893.041667  -1.26
1893.125000  -1.06
1893.208333  -0.91
1893.291667  -1.02
1893.375000  -0.95
1893.458333  -0.97
1893.541667  -0.72
1893.625000  -0.89
1893.708333  -0.90
1893.791667  -1.10
1893.875000  -0.82
1893.958333  -0.94
1894.041667  -0.96
1894.125000  -0.89
1894.208333  -0.70
1894.291667  -0.54
1894.375000  -0.51
1894.458333  -0.26
1894.541667  -0.22
1894.625000  -0.40
1894.708333  -0.57
1894.791667  -0.51
1894.875000  -0.55
1894.958333  -0.52
1895.041667  -0.28
1895.125000  -0.30
1895.208333  -0.51
1895.291667  -0.24
1895.375000   0.00
1895.458333   0.15
1895.541667   0.26
1895.625000   0.34
1895.708333   0.48
1895.791667   0.67
1895.875000   0.60
1895.958333   0.51
1896.041667   0.22
1896.125000   0.23
1896.208333   0.13
1896.291667   0.19
1896.375000   0.26
1896.458333   0.26
1896.541667   0.68
1896.625000   1.00
1896.708333   1.24
1896.791667   1.30
1896.875000   1.56
1896.958333   1.70
1897.041667   1.61
1897.125000   1.08
1897.208333   0.66
1897.291667   0.08
1897.375000  -0.01
1897.458333  -0.01
1897.541667   0.12
1897.625000   0.00
1897.708333   0.07
1897.791667  -0.15
1897.875000  -0.28
1897.958333  -0.46
1898.041667  -0.39
1898.125000  -0.46
1898.208333  -0.50
1898.291667  -0.59
1898.375000  -0.31
1898.458333  -0.31
1898.541667  -0.33
1898.625000  -0.46
1898.708333  -0.50
1898.791667  -0.38
1898.875000  -0.37
1898.958333  -0.39
1899.041667  -0.38
1899.125000  -0.45
1899.208333  -0.27
1899.291667   0.30
1899.375000   0.42
1899.458333   0.59
1899.541667   0.82
1899.625000   1.03
1899.708333   1.15
1899.791667   1.37
1899.875000   1.76
1899.958333   1.56
1900.041667   1.44
1900.125000   1.25
1900.208333   1.14
1900.291667   0.94
1900.375000   0.83
1900.458333   0.82
1900.541667   0.94
1900.625000   0.47
1900.708333   0.20
1900.791667   0.09
1900.875000   0.21
1900.958333   0.27
1901.041667   0.27
1901.125000   0.18
1901.208333   0.19
1901.291667  -0.02
1901.375000  -0.15
1901.458333  -0.49
1901.541667  -0.40
1901.625000  -0.46
1901.708333  -0.17
1901.791667   0.01
1901.875000   0.25
1901.958333   0.22
1902.041667   0.05
1902.125000   0.10
1902.208333   0.27
1902.291667   0.37
1902.375000   0.68
1902.458333   1.08
1902.541667   1.39
1902.625000   1.43
1902.708333   1.29
1902.791667   1.50
1902.875000   1.59
1902.958333   1.61
1903.041667   1.40
1903.125000   1.06
1903.208333   0.40
1903.291667   0.06
1903.375000  -0.36
